"model","window","coin","horizon","accuracy","misclassifications","sensitivity","specificity","precision","recall","f1_score","TP","TN","FP","FN","FP_cost_ratio","FN_cost_ratio","total_observations"
"PCR","Window 1","USDC","3d",0.76219512195122,0.23780487804878,0,1,NA,0,NA,0,125,0,39,0,1,164
"PCR","Window 1","USDC","5d",0.725609756097561,0.274390243902439,0,1,NA,0,NA,0,119,0,45,0,1,164
"PCR","Window 1","USDC","7d",0.689024390243902,0.310975609756098,0,1,NA,0,NA,0,113,0,51,0,1,164
"PCR","Window 1","UST","1d",0.601226993865031,0.398773006134969,0,1,NA,0,NA,0,98,0,65,0,1,163
"PCR","Window 1","UST","3d",0.428571428571429,0.571428571428571,0,1,NA,0,NA,0,69,0,92,0,1,161
"PCR","Window 1","UST","5d",0.339622641509434,0.660377358490566,0,1,NA,0,NA,0,54,0,105,0,1,159
"PCR","Window 1","UST","7d",0.286624203821656,0.713375796178344,0,1,NA,0,NA,0,45,0,112,0,1,157
"PCR","Window 2","DAI","1d",0.989945155393053,0.0100548446069469,0,0.999077490774908,0,0,0,0,1083,1,10,0.0909090909090909,0.909090909090909,1094
"PCR","Window 2","DAI","3d",0.932234432234432,0.0677655677655677,0.142857142857143,0.947712418300654,0.0508474576271186,0.142857142857143,0.075,3,1015,56,18,0.756756756756757,0.243243243243243,1092
"PCR","Window 2","DAI","5d",0.927522935779816,0.0724770642201835,0.428571428571429,0.940677966101695,0.16,0.428571428571429,0.233009708737864,12,999,63,16,0.79746835443038,0.20253164556962,1090
"PCR","Window 2","DAI","7d",0.859375,0.140625,0.555555555555556,0.869771863117871,0.127388535031847,0.555555555555556,0.207253886010363,20,915,137,16,0.895424836601307,0.104575163398693,1088
"PCR","Window 2","PAX","1d",0.991176470588235,0.00882352941176467,0.142857142857143,1,1,0.142857142857143,0.25,1,673,0,6,0,1,680
"PCR","Window 2","PAX","3d",0.954277286135693,0.0457227138643068,0,0.981790591805766,0,0,0,0,647,12,19,0.387096774193548,0.612903225806452,678
"PCR","Window 2","PAX","5d",0.890532544378698,0.109467455621302,0.12,0.920122887864823,0.0545454545454545,0.12,0.075,3,599,52,22,0.702702702702703,0.297297297297297,676
"PCR","Window 2","PAX","7d",0.744807121661721,0.255192878338279,0.129032258064516,0.774494556765163,0.0268456375838926,0.129032258064516,0.0444444444444444,4,498,145,27,0.843023255813954,0.156976744186047,674
"PCR","Window 2","USDT","1d",0.996343692870201,0.00365630712979892,0.5,0.999080882352941,0.75,0.5,0.6,3,1087,1,3,0.25,0.75,1094
"PCR","Window 2","USDT","3d",0.989010989010989,0.010989010989011,0.3,0.995378927911275,0.375,0.3,0.333333333333333,3,1077,5,7,0.416666666666667,0.583333333333333,1092
"PCR","Window 2","USDT","5d",0.98348623853211,0.0165137614678899,0.285714285714286,0.992565055762082,0.333333333333333,0.285714285714286,0.307692307692308,4,1068,8,10,0.444444444444444,0.555555555555556,1090
"PCR","Window 2","USDT","7d",0.978860294117647,0.0211397058823529,0.222222222222222,0.991588785046729,0.307692307692308,0.222222222222222,0.258064516129032,4,1061,9,14,0.391304347826087,0.608695652173913,1088
"PCR","Window 2","USDC","1d",0.915904936014625,0.0840950639853748,0.032258064516129,0.998001998001998,0.6,0.032258064516129,0.0612244897959184,3,999,2,90,0.0217391304347826,0.978260869565217,1094
"PCR","Window 2","USDC","3d",0.836080586080586,0.163919413919414,0.0220994475138122,0.997804610318331,0.666666666666667,0.0220994475138122,0.0427807486631016,4,909,2,177,0.0111731843575419,0.988826815642458,1092
"PCR","Window 2","USDC","5d",0.776146788990826,0.223853211009174,0.024,1,1,0.024,0.046875,6,840,0,244,0,1,1090
"PCR","Window 2","USDC","7d",0.715073529411765,0.284926470588235,0.012779552715655,0.998709677419355,0.8,0.012779552715655,0.0251572327044025,4,774,1,309,0.0032258064516129,0.996774193548387,1088
"PCR","Window 2","UST","1d",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0
"PCR","Window 2","UST","3d",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0
"PCR","Window 2","UST","5d",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0
"PCR","Window 2","UST","7d",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0
"PLS","Window 1","DAI","1d",0.890243902439024,0.109756097560976,0.451612903225806,0.992481203007519,0.933333333333333,0.451612903225806,0.608695652173913,14,132,1,17,0.0555555555555556,0.944444444444444,164
"PLS","Window 1","DAI","3d",0.902439024390244,0.0975609756097561,0.542857142857143,1,1,0.542857142857143,0.703703703703704,19,129,0,16,0,1,164
"PLS","Window 1","DAI","5d",0.914634146341463,0.0853658536585366,0.648648648648649,0.992125984251969,0.96,0.648648648648649,0.774193548387097,24,126,1,13,0.0714285714285714,0.928571428571429,164
"PLS","Window 1","DAI","7d",0.817073170731707,0.182926829268293,0.641025641025641,0.872,0.609756097560976,0.641025641025641,0.625,25,109,16,14,0.533333333333333,0.466666666666667,164
"PLS","Window 1","PAX","1d",1,0,NA,1,NA,NA,NA,0,40,0,0,NA,NA,40
"PLS","Window 1","PAX","3d",1,0,NA,1,NA,NA,NA,0,40,0,0,NA,NA,40
"PLS","Window 1","PAX","5d",1,0,NA,1,NA,NA,NA,0,40,0,0,NA,NA,40
"PLS","Window 1","PAX","7d",1,0,NA,1,NA,NA,NA,0,40,0,0,NA,NA,40
"PLS","Window 1","USDT","1d",1,0,NA,1,NA,NA,NA,0,164,0,0,NA,NA,164
"PLS","Window 1","USDT","3d",0.99390243902439,0.00609756097560976,0,1,NA,0,NA,0,163,0,1,0,1,164
"PLS","Window 1","USDT","5d",0.981707317073171,0.0182926829268293,0,1,NA,0,NA,0,161,0,3,0,1,164
"PLS","Window 1","USDT","7d",0.969512195121951,0.0304878048780488,0,1,NA,0,NA,0,159,0,5,0,1,164
"PLS","Window 1","USDC","1d",0.786585365853659,0.213414634146341,0,1,NA,0,NA,0,129,0,35,0,1,164
"PLS","Window 1","USDC","3d",0.76219512195122,0.23780487804878,0,1,NA,0,NA,0,125,0,39,0,1,164
"PLS","Window 1","USDC","5d",0.725609756097561,0.274390243902439,0,1,NA,0,NA,0,119,0,45,0,1,164
"PLS","Window 1","USDC","7d",0.689024390243902,0.310975609756098,0,1,NA,0,NA,0,113,0,51,0,1,164
"PLS","Window 1","UST","1d",0.595092024539877,0.404907975460123,0.492307692307692,0.663265306122449,0.492307692307692,0.492307692307692,0.492307692307692,32,65,33,33,0.5,0.5,163
"PLS","Window 1","UST","3d",0.60248447204969,0.397515527950311,0.945652173913043,0.144927536231884,0.595890410958904,0.945652173913043,0.73109243697479,87,10,59,5,0.921875,0.078125,161
"PLS","Window 1","UST","5d",0.654088050314465,0.345911949685535,0.961904761904762,0.0555555555555556,0.664473684210526,0.961904761904762,0.785992217898833,101,3,51,4,0.927272727272727,0.0727272727272727,159
"PLS","Window 1","UST","7d",0.713375796178344,0.286624203821656,1,0,0.713375796178344,1,0.83271375464684,112,0,45,0,1,0,157
