"model","window","coin","horizon","accuracy","sensitivity","specificity","precision","recall","f1_score","auc","TP","TN","FP","FN","total_observations"
"PLS","Window 1","DAI","depeg_1d",0.89,0.452,0.992,0.933,0.452,0.609,0.902,14,132,1,17,164
"PLS","Window 1","DAI","depeg_3d",0.902,0.543,1,1,0.543,0.704,0.908,19,129,0,16,164
"PLS","Window 1","DAI","depeg_5d",0.915,0.649,0.992,0.96,0.649,0.774,0.876,24,126,1,13,164
"PLS","Window 1","DAI","depeg_7d",0.817,0.641,0.872,0.61,0.641,0.625,0.836,25,109,16,14,164
"PLS","Window 1","PAX","depeg_1d",1,0,1,0,0,0,0,0,40,0,0,40
"PLS","Window 1","PAX","depeg_3d",1,0,1,0,0,0,0,0,40,0,0,40
"PLS","Window 1","PAX","depeg_5d",1,0,1,0,0,0,0,0,40,0,0,40
"PLS","Window 1","PAX","depeg_7d",1,0,1,0,0,0,0,0,40,0,0,40
"PLS","Window 1","USDC","depeg_1d",0.787,0,1,0,0,0,0.613,0,129,0,35,164
"PLS","Window 1","USDC","depeg_3d",0.762,0,1,0,0,0,0.516,0,125,0,39,164
"PLS","Window 1","USDC","depeg_5d",0.726,0,1,0,0,0,0.555,0,119,0,45,164
"PLS","Window 1","USDC","depeg_7d",0.689,0,1,0,0,0,0.601,0,113,0,51,164
"PLS","Window 1","USDT","depeg_1d",1,0,1,0,0,0,0,0,164,0,0,164
"PLS","Window 1","USDT","depeg_3d",0.994,0,1,0,0,0,0.945,0,163,0,1,164
"PLS","Window 1","USDT","depeg_5d",0.982,0,1,0,0,0,0.901,0,161,0,3,164
"PLS","Window 1","USDT","depeg_7d",0.97,0,1,0,0,0,0.842,0,159,0,5,164
"PLS","Window 1","UST","depeg_1d",0.595,0.492,0.663,0.492,0.492,0.492,0.634,32,65,33,33,163
"PLS","Window 1","UST","depeg_3d",0.602,0.946,0.145,0.596,0.946,0.731,0.514,87,10,59,5,161
"PLS","Window 1","UST","depeg_5d",0.654,0.962,0.056,0.664,0.962,0.786,0.614,101,3,51,4,159
"PLS","Window 1","UST","depeg_7d",0.713,1,0,0.713,1,0.833,0.666,112,0,45,0,157
"PLS","Window 2","DAI","depeg_1d",0.83,0.3,0.835,0.016,0.3,0.031,0.556,3,905,179,7,1094
"PLS","Window 2","DAI","depeg_3d",0.975,0,0.994,0,0,0,0.847,0,1065,6,21,1092
"PLS","Window 2","DAI","depeg_5d",0.957,0.107,0.979,0.12,0.107,0.113,0.83,3,1040,22,25,1090
"PLS","Window 2","DAI","depeg_7d",0.893,0.472,0.908,0.149,0.472,0.227,0.836,17,955,97,19,1088
"PLS","Window 2","PAX","depeg_1d",0.975,0.143,0.984,0.083,0.143,0.105,0.617,1,662,11,6,680
"PLS","Window 2","PAX","depeg_3d",0.959,0.053,0.985,0.091,0.053,0.067,0.616,1,649,10,18,678
"PLS","Window 2","PAX","depeg_5d",0.833,0.08,0.862,0.022,0.08,0.034,0.649,2,561,90,23,676
"PLS","Window 2","PAX","depeg_7d",0.638,0.161,0.661,0.022,0.161,0.039,0.661,5,425,218,26,674
"PLS","Window 2","USDC","depeg_1d",0.916,0.011,1,1,0.011,0.021,0.683,1,1001,0,92,1094
"PLS","Window 2","USDC","depeg_3d",0.836,0.011,1,1,0.011,0.022,0.703,2,911,0,179,1092
"PLS","Window 2","USDC","depeg_5d",0.77,0,0.999,0,0,0,0.723,0,839,1,250,1090
"PLS","Window 2","USDC","depeg_7d",0.709,0,0.995,0,0,0,0.737,0,771,4,313,1088
"PLS","Window 2","USDT","depeg_1d",0.995,0,1,0,0,0,0.794,0,1088,0,6,1094
