date,open,high,low,close,depeg_1d,depeg_3d,depeg_5d,depeg_7d,PL_3,PH_3,PL_5,PH_5,PL_7,PH_7,volume,V_monthly,ThreshD,ThreshU,marketCap,circulatingSupply,WLUNA_close
2021-08-21,1.00467366,1.01399891,1.00034744,1.00410156,0,0,0,0,1.00063061,1.00445391,1.00016963,1.00445391,1.00016963,1.00445391,50585071.64,1598985918.2200005,0.9914483131952512,1.0085516868047488,2267069240.94,2257808707.69,27.55119133
2021-08-22,1.00376818,1.00762865,1.00107693,1.00445391,0,0,0,0,1.00063061,1.00138359,1.00016963,1.00182191,1.00016963,1.00182191,55759773.15,1628547711.8500004,0.9915003735805225,1.0084996264194777,2300041277.06,2289842521.53,28.03327948
2021-08-23,1.00485792,1.00801443,0.999046,1.00138359,0,0,0,0,1.00016963,1.00087232,1.00016963,1.00182191,0.99974044,1.00182191,71778876.7,1677938340.5700004,0.9915846018643918,1.008415398135608,2297592423.26,2294417893.73,29.91685056
2021-08-24,1.00172757,1.01027715,0.99558293,1.00063061,0,0,0,0,1.00016963,1.00182191,1.00016963,1.00182191,0.99974044,1.00182191,147072646.03,1805999367.6600008,0.9917884060004128,1.0082115939995873,2309699186.97,2308243592.49,29.67116452
2021-08-25,0.99980177,1.00451157,0.99829721,1.00087232,0,0,0,0,1.00016963,1.00182191,0.99974044,1.00182191,0.99974044,1.00182191,72866047.06,1837214773.0700004,0.9918351785796642,1.0081648214203358,2320824743.82,2318802002.64,29.98959314
2021-08-26,1.00017901,1.00393481,0.99713627,1.00016963,0,0,0,0,1.00092586,1.00182191,0.99974044,1.00182191,0.99974044,1.00182191,64331789.32,1874006897.3700004,0.9918889650703148,1.0081110349296851,2333034768.79,2332639085.38,27.00930017
2021-08-27,1.00070428,1.00682883,0.9951494,1.00182191,0,0,0,0,0.99974044,1.00124158,0.99974044,1.00155079,0.99878178,1.00155079,102022162.54,1947605005.24,0.9919924491356572,1.008007550864343,2347903561.35,2343633674.86,32.66126291
2021-08-28,1.00183553,1.00484262,0.99753294,1.00092586,0,0,0,0,0.99974044,1.00155079,0.99974044,1.00155079,0.99878178,1.00173092,75683086.68,1994742092.3400004,0.9920560271848744,1.0079439728151258,2355367671.12,2353188951.68,34.95920361
2021-08-29,1.00050203,1.00532915,0.99716307,1.00124158,0,0,0,0,0.99974044,1.00155079,0.99878178,1.00155079,0.99878178,1.00173092,59588274.76,1999014759.2000003,0.9920616910017348,1.0079383089982652,2361574032.44,2358645594.48,33.33124269
2021-08-30,1.00164225,1.00531564,0.99744815,0.99974044,0,0,0,0,1.00049034,1.00155079,0.99878178,1.00173092,0.99878178,1.00173092,72274246.08,2023898163.79,0.992094358532838,1.007905641467162,2384966668.22,2385585880.52,33.46823879
2021-08-31,0.99996079,1.00329049,0.99750086,1.00155079,0,0,0,0,0.99878178,1.00103739,0.99878178,1.00173092,0.99878178,1.00173092,82395373.61,2060025684.37,0.9921408461914062,1.007859153808594,2400297531.53,2396580932.63,31.56235563
2021-09-01,1.00171481,1.00482991,0.99891291,1.00103739,0,0,0,0,0.99878178,1.00173092,0.99878178,1.00173092,0.99878178,1.00173092,78629387.75,2091359717.9,0.9921802940834422,1.0078197059165577,2413815177.9,2411313693.92,31.66261541
