date,open,high,low,close,depeg_1d,depeg_3d,depeg_5d,depeg_7d,PL_3,PH_3,PL_5,PH_5,PL_7,PH_7,volume,V_monthly,ThreshD,ThreshU,marketCap,circulatingSupply,WLUNA_close
2022-08-28,1.0001217629,1.00074099,0.9976041216,0.9987017107,0,0,0,0,0.9990906869,0.9999175305,0.9990906869,1.0001908663,0.9990906869,1.0002700083,335101094.12,19995127109.299995,0.9963156692547046,1.0036843307452954,6928175802.39,6937182271.84,1.2477684121e-4
2022-08-29,0.9987686744,1.0010836385,0.9987557568,0.9999175305,0,0,0,0,0.9990906869,0.9998169433,0.9990906869,1.0002285461,0.9990906869,1.0002700083,628135412.14,20190674634.139996,0.9963276021604944,1.0036723978395057,6939557450.72,6940129799.63,1.3155296054e-4
2022-08-30,0.9999493675,1.0009720764,0.9974298966,0.9990906869,0,0,0,0,0.9996400838,1.0001908663,0.9996400838,1.0002700083,0.9985607312,1.0002700083,648814217.26,19644692595.689995,0.9962938904360846,1.0037061095639157,6944186165.53,6950506352.17,1.5810270091e-4
2022-08-31,0.9992066383,1.0008180417,0.9977743135,0.9996400838,0,0,0,0,0.9998169433,1.0002285461,0.9998169433,1.0002700083,0.9985607312,1.0002922031,593523153.1,19326402995.519997,0.9962736556140268,1.0037263443859734,6971155000.37,6973664935.53,2.2522213423e-4
2022-09-01,0.9996813953,1.0009899137,0.9971132144,0.9998169433,0,0,0,0,1.0001908663,1.0002700083,0.9985607312,1.0002700083,0.9985607312,1.0002922031,370715814.84,18838074651.32,0.9962417312848618,1.003758268715138,6977131560.61,6978409005.13,2.7603945589e-4
2022-09-02,0.9997674497,1.0010874085,0.9981236615,1.0001908663,0,0,0,0,1.0001844671,1.0002700083,0.9985607312,1.0002922031,0.9985607312,1.0002922031,477487274.12,18880841106.03,0.9962445710124314,1.0037554289875683,7005646499.26,7004309612.54,2.4143375674e-4
2022-09-03,1.0001427799,1.0004751495,0.9983332185,1.0002285461,0,0,0,0,0.9985607312,1.0002700083,0.9985607312,1.0002922031,0.9985607312,1.0002922031,299368935.46,18511550800.06,0.9962197626775116,1.0037802373224884,7005005693.28,7003405092.59,2.6093359804e-4
2022-09-04,1.0002164655,1.0007654728,0.9991222462,1.0002700083,0,0,0,0,0.9985607312,1.0002922031,0.9985607312,1.0002922031,0.9985607312,1.0002922031,531272774.5,18435989737.44,0.9962146052037671,1.0037853947962327,6907059654.29,6905195194.04,2.5123891611e-4
2022-09-05,1.0002777423,1.0015306435,0.999046366,1.0001844671,0,0,0,0,0.9985607312,1.0002922031,0.9985607312,1.0002922031,0.9985607312,1.0002922031,519136613.51,18389583315.74,0.9962114237093832,1.003788576290617,6905291278.36,6904017714.5,4.0368257227e-4
2022-09-06,1.0001585864,1.0010453781,0.9977485876,0.9985607312,0,0,0,0,0.9999871998,1.0002922031,0.9997158806,1.0002922031,0.9997158806,1.0002922031,573741432.34,18596106571.91,0.9962255009140925,1.0037744990859074,6861813679.28,6871703908.12,3.8114195211e-4
2022-09-07,0.9985596504,1.0007452672,0.998547605,1.0002922031,0,0,0,0,0.9997158806,1.000103436,0.9997158806,1.0001968744,0.9997158806,1.0001968744,504995802.82,16151894681.340002,0.9960439766896192,1.003956023310381,6849802213.59,6847801264.85,4.3834839057e-4
2022-09-08,1.0002367648,1.0008401663,0.9986451867,1.000103436,0,0,0,0,0.9997158806,1.0001968744,0.9997158806,1.0001968744,0.9996943249,1.0001968744,391020932.46,15353864437.79,0.9959765917750998,1.0040234082249002,6874987463.92,6874276416.17,5.1771161878e-4
2022-09-09,1.0001005955,1.0010194158,0.9990422919,0.9999871998,0,0,0,0,0.9997158806,1.0001968744,0.9997158806,1.0001968744,0.9996943249,1.0001968744,467189159.02,15128177614.69,0.9959566829692996,1.0040433170307002,6874878324.91,6874966325.74,4.3167310656e-4
2022-09-10,1.0001133852,1.0005063721,0.99903431,0.9997158806,0,0,0,0,0.9997496749,1.0001968744,0.9996943249,1.0001968744,0.9996943249,1.0001968744,345615261.46,14602255321.34,0.995908712295366,1.004091287704634,6898785652.65,6900746288.43,4.3816073559e-4
2022-09-11,0.9998252201,1.0005407703,0.9984477825,1.0001968744,0,0,0,0,0.9997496749,1.0001165573,0.9996943249,1.0001183251,0.9993662728,1.0001569431,340002365.27,14284226935.54,0.9958785716617268,1.0041214283382731,6905721201.06,6904361908.91,4.1935022635e-4
2022-09-12,1.0002740998,1.000556748,0.9973724408,0.9997592475,0,0,0,0,0.9996943249,1.0001165573,0.9996943249,1.0001569431,0.9993472508,1.0001569431,469114832.78,14362559830.41,0.9958860780330828,1.004113921966917,6890204218.98,6891863452.05,2.9765350374e-4
