date,open,high,low,close,depeg_1d,depeg_3d,depeg_5d,depeg_7d,volume,V_monthly,ThreshD,ThreshU,marketCap,circulatingSupply,WLUNA_close,log_return,close_lag1d,close_lag7d,abs_peg_deviation,intraday_range,volatility_3d,volatility_7d,volatility_30d,ma_7d,ma_30d,dist_from_ma_7d,ema_7d,rsi_14,bb_pctb,dist_from_lower_band
2025-09-09,0.9998561281,1.0002021251,0.9992681039,0.9998866871,0,0,0,0,14130609482.01,486893401159.99,0.9987288737020704,1.0012711262979297,72679954769.63,72687879327.78,6.002631882e-5,7.634966563320894e-5,0.999810349,0.9998654204,1.1331290000005101e-4,9.341270486448185e-4,2.4324730514151352e-4,1.6830314057325924e-4,1.5033471023792749e-4,0.9999124202142881,0.999905302996668,-2.5735368186137723e-5,0.9998967833313941,49.55298312022637,0.4850906174375564,1.8537757357881614e-4
2025-09-10,0.9998909783,1.0006589279,0.9992637659,0.9998485541,0,0,0,0,15333630537.1,483494113693.05994,0.998725901699854,1.0012740983001458,72366369196.33,72382193750.25,6.068538792e-5,-3.813804869666042e-5,0.9998866871,1.0000341589,1.5144590000004676e-4,0.0013953733235688294,1.700824093862845e-4,1.5170003057978924e-4,1.474155547841493e-4,0.9998859052428595,0.9998975183333347,-3.7355404915372496e-5,0.9998847260235455,48.28028482726639,0.3527508095551949,1.2161134823862136e-4
2025-09-11,0.999781375,1.0001778572,0.9990769624,0.999757536,0,0,0,0,15710414377.89,478645588621.9199,0.9987216140768816,1.0012783859231185,72445805257.99,72464097807.92,6.08873461e-5,-9.10360300596663e-5,0.9998485541,0.9998941065,2.424640000000533e-4,0.0011011617920927321,8.556050908309133e-5,1.4663181049473948e-4,1.3884350637162864e-4,0.9998663951714308,0.9998961985400014,-1.088737174852465e-4,0.9998529285176592,45.2902783939453,0.11678503302505855,4.2219801564482856e-5
2025-09-12,0.999747564,1.0002238816,0.9990601583,0.9997820465,0,0,0,0,19459637605.48,475174662569.42993,0.9987185089570564,1.0012814910429435,72990275632.99,73012106455.37,6.142064597e-5,2.4516143832194673e-5,0.999757536,0.9998391948,2.1795349999997882e-4,0.0011639769928595434,5.784469028478851e-5,1.4650879381584967e-4,1.3828220829679923e-4,0.9998582311285737,0.9998933575766681,-7.619543071394792e-5,0.9998352080132444,46.25554012967499,0.21568190630880518,7.906958891789807e-5
2025-09-13,0.9997009972,1.0001085705,0.9990615307,0.9996494221,0,0,0,0,13143947640.68,459216135206.17993,0.9987038330198788,1.0012961669801212,73151116798.18,73176895382.25,6.200513883e-5,-1.326621114825601e-4,0.9997820465,0.9998538127,3.505779000000375e-4,0.0010474069977455865,8.143508610088416e-5,1.5311775875451875e-4,1.4030028328335136e-4,0.9998290324714308,0.9998862502166681,-1.7964108422308187e-4,0.9997887615349333,41.94333429990168,-0.054584667056088026,-2.2651199171243948e-5
2025-09-14,0.9996477224,1.0003611205,0.9991607573,1.0000329661,0,0,0,0,12869800871.72,451404641476.2399,0.9986963990751798,1.0013036009248202,73206327486.88,73208958511.77,6.008677108e-5,3.8360492342854826e-4,0.9996494221,1.0000686325,3.296610000003142e-5,0.0012003236300112347,2.6463226274451635e-4,2.030849934697943e-4,1.572674786469078e-4,0.9998239372714307,0.9998905554700014,2.0906563723586608e-4,0.9998498126762,55.00681498904414,0.8329068974475229,3.6391571810654995e-4
2025-09-15,0.9999640614,1.0008753956,0.9993037642,0.9999856026,0,0,0,0,17113358551.44,458394754305.6299,0.9987030592969957,1.0012969407030046,73200181014.94,73208895261.75,5.868027036e-5,-4.736306027364794e-5,1.0000329661,0.999810349,1.4397399999976912e-5,0.0015716540277317496,2.767492795682838e-4,1.7261664182527425e-4,1.574288571694823e-4,0.9998489735000022,0.999892101216668,1.3664973772940193e-4,0.99988376015715,53.40861397013269,0.7321750574387664,3.1448574393767734e-4
2025-09-16,0.9998809674,1.000693526,0.9994386778,1.0001690224,0,0,0,0,14448278590.66,462656411659.8699,0.9987070537478324,1.0012929462521676,73663983998.65,73649562989.16,6.046230921e-5,1.834056209669882e-4,0.9999856026,0.9998866871,1.6902239999994073e-4,0.0012546361383888654,2.1566461150127452e-4,1.823864927147259e-4,1.6088116409448903e-4,0.9998893071142879,0.9998998989566681,2.7974625163188356e-4,0.9999550757178624,58.444030839934385,1.057845618205475,5.200190369974989e-4
2025-09-17,1.0001958058,1.0015008801,0.9993069574,0.9999034888,0,0,0,0,24465422204.2,468978794266.7399,0.998712890196842,1.001287109803158,73616915104.67,73625849934.22,6.106738692e-5,-2.6552397482892476e-4,1.0001690224,0.9998485541,9.651119999998237e-5,0.0021941344585496288,2.2449430240083264e-4,2.1586771081175184e-4,1.6838742382893585e-4,0.9998971549285736,0.9998996953466681,6.334522900916225e-6,0.9999421789883969,50.01648839225838,0.527385914367553,2.544562429259084e-4
2025-09-18,0.9998786455,1.0004361242,0.9994065222,0.9997041869,0,0,0,0,27483010207.93,478190216601.06995,0.9987212084109136,1.0012787915890864,74328717805.02,74359028860.7,6.186830195e-5,-1.9934100381993464e-4,0.9999034888,0.999757536,2.958131000000419e-4,0.0010299066598816776,2.4235406138500482e-4,2.2769383839616562e-4,1.6319626371806374e-4,0.9998895336285736,0.9998833250333348,-1.8536720541618477e-4,0.9998826809662976,44.79529448849732,0.15524559709646996,7.911023276250941e-5
2025-09-19,0.9995923689,1.0005014202,0.9993596007,0.9998931541,0,0,0,0,12775678194.48,473449734708.6999,0.9987169545502078,1.0012830454497923,74185440290.47,74188512542.51,5.941659507e-5,1.8900525289555054e-4,0.9997041869,0.9997820465,1.068458999999855e-4,0.001141941511768602,2.4555712831990655e-4,2.3973302063744304e-4,1.5251246203222757e-4,0.9999054061428593,0.9998857880033348,-1.2253201936895604e-5,0.9998852992497232,50.11277209525597,0.518718439710421,2.6249361920708847e-4
2025-09-20,0.9999585886,1.0006036233,0.9993905816,0.99972701,0,0,0,0,8885529948.01,468748122935.6699,0.998712679102206,1.0012873208977942,73990305213.88,74008345271.6,5.978890809e-5,-1.6617566012311114e-4,0.9998931541,0.9996494221,2.729900000000285e-4,0.0012133729386784471,2.152774318951509e-4,2.4349888826812648e-4,1.5429602575320916e-4,0.9999164901285736,0.9998863509233349,-1.8949595335637196e-4,0.9998457269372925,45.92430291709032,0.2040510356759779,1.0588194365656813e-4
2025-09-21,0.9997562429,1.0009471766,0.9994172474,0.9997992788,0,0,0,0,9451899159.78,454852611316.84,0.9986997013772534,1.0013002986227466,73969719393.49,73982997794.65,5.932564573e-5,7.228592135678285e-5,0.99972701,1.0000329661,2.0072120000003135e-4,0.0015302363508765781,1.8103443925098848e-4,1.8568817317651982e-4,1.5345417952854074e-4,0.9998831062285737,0.9998855628600015,-8.383722862355257e-5,0.9998341149029694,47.96172221334716,0.35480258557457833,1.8566883153228693e-4
2025-09-22,0.9998205209,1.001002792,0.9994205239,0.9999819272,0,0,0,0,24334552459.26,467068190758.67,0.9987111375541614,1.0012888624458385,74148753177.04,74159619951.55,5.557298554e-5,1.8266838388113313e-4,0.9997992788,0.9999856026,1.8072799999990785e-5,0.0015822966965316875,1.7829768222089838e-4,2.0240464318335962e-4,1.5450573417866883e-4,0.9998825811714307,0.9998857002000016,9.935769503347392e-5,0.999871067977227,52.80181107169918,0.6897591279886598,3.667966869368165e-4
2025-09-23,0.9998534678,1.0006265516,0.9993672334,0.9996821408,0,0,0,0,17131156894.5,465270445983.79,0.9987094796883744,1.0012905203116256,73978443190.23,74003367137.35,5.57078377e-5,-2.99836764627989e-4,0.9999819272,1.0001690224,3.1785920000004797e-4,0.001259718613150516,2.528078320896694e-4,2.1142468144193404e-4,1.6022959477313126e-4,0.9998130266571451,0.9998822823633348,-1.3091033388789892e-4,0.9998238361829203,45.34665979153802,0.16384510202139,8.841064809156827e-5
2025-09-24,0.9996632052,1.0008486927,0.999304832,0.9996935103,0,0,0,0,15374932240.34,458081806209.69006,0.998702764020238,1.001297235979762,74150783482.47,74173147889.15,5.546444872e-5,1.1373050375902017e-5,0.9996821408,0.9999034888,3.064897000000233e-4,0.0015443340224712573,2.446101860011947e-4,1.9382008271046712e-4,1.593544296140359e-4,0.9997830297285736,0.9998763505466681,-8.953885584345896e-5,0.9997912547121901,45.66001812830799,0.21405571606702115,1.1976282460254388e-4
2025-09-25,0.9996984838,1.0012472003,0.9992445582,1.0000161592,0,0,0,0,26930517234.42,465628368838.46,0.9987098104422184,1.0012901895577817,73985343484.79,73990499565.35,5.28356685e-5,3.2269574700876524e-4,0.9996935103,0.9997041869,1.6159200000087637e-5,0.0020026097394285946,3.1126625752407946e-4,2.1686654863684927e-4,1.6815068086595533e-4,0.9998275972000022,0.9998762699166682,1.8859451422015405e-4,0.9998474808341427,53.76209244387112,0.76643861159279425,4.4285476294365775e-4
2025-09-26,0.9999303143,1.0008454235,0.9992527388,0.9997482822,0,0,0,0,19578086528.33,466541841581.72,0.9987106530411852,1.0012893469588149,73774176997.92,73792028489.91,5.438317845e-5,-2.6790855568451866e-4,1.0000161592,0.9998931541,2.5171779999999533e-4,0.0015930857080295943,2.954469719149462e-4,2.3421748149079146e-4,1.750813697849708e-4,0.999806901214288,0.9998682320233349,-5.8630335734577935e-5,0.999822681175607,47.43806661632893,0.31463902309614095,1.84618741919414e-4
2025-09-27,0.9997580837,1.0004278224,0.9993420299,0.9998298295,0,0,0,0,8597379909.78,459780198830.9001,0.9987043632876266,1.0012956367123735,73734619361.77,73747164973.85,5.417008845e-5,8.156450560040857e-5,0.9997482822,0.99972701,1.7017050000001088e-4,0.0010859773013004222,2.9695373896361196e-4,2.2718340563428243e-4,1.7583158909706683e-4,0.999821589714288,0.9998627027133349,8.241256036805086e-6,0.9998244682567052,49.389773507808926,0.4724032170187546,2.607892511877504e-4
2025-09-28,0.9998298835,1.0007334796,0.9993252807,0.9998995499,0,0,0,0,9271470844,448304051781.15015,0.9986934006273918,1.0013065993726082,73687783429.16,73707693206.92,5.51325441e-5,6.972983519305624e-5,0.9998298295,0.9997992788,1.0045010000003796e-4,0.0014083403679307834,1.984402357478221e-4,2.2707743454623852e-4,1.7573908859003375e-4,0.9998359141571452,0.9998622289933349,6.364618629285086e-5,0.9998432386675289,51.06285412545396,0.5904982837388205,3.2659766818926594e-4
2025-09-29,0.999729882,1.0007114754,0.9993324328,0.9998222995,0,0,0,0,15591146722.92,454346143390.8601,0.998699218401146,1.0013007815988542,73532445096.2,73549911015.65,5.467037355e-5,-7.726114515531042e-5,0.9998995499,0.9999819272,1.7770049999998871e-4,0.0013792877001139452,8.84797482152481e-5,2.159407395915037e-4,1.7537688470395027e-4,0.9998131102000024,0.9998624564266682,9.191017705063548e-6,0.9998380038756467,49.125061733662854,0.4565400343537656,2.5221250851602825e-4
2025-09-30,0.9997625297,1.0007333614,0.999364541,0.9997946595,0,0,0,0,16243262405.36,461167099478.37006,0.9987056634119904,1.0012943365880096,73871249728.78,73885615920.7,5.384991571e-5,-2.7645294642360366e-5,0.9998222995,0.9996821408,2.0534049999998416e-4,0.0013691015319931006,7.477744405496616e-5,1.7910698268941517e-4,1.7538989270781866e-4,0.9998291843000023,0.9998626009233349,-3.45306983877389e-5,0.999827167781735,48.41707889619833,0.4116725386495306,2.2821540793074415e-4
2025-10-01,0.9998055617,1.0003217623,0.9993801079,1.0000125816,0,0,0,0,19015696129.61,463092947080.3501,0.9987074601416116,1.0012925398583885,74152605468.52,74166266307.67,5.579598358e-5,2.1794310609939455e-4,0.9997946595,0.9996935103,1.2581600000061144e-5,9.416425526301068e-4,1.5807221195805163e-4,1.945538663829993e-4,1.7869620030505395e-4,0.999874765914288,0.9998661856666683,1.3783294709513873e-4,0.9998735212363012,54.040987213529405,0.7752609600666323,4.4019128512588697e-4
2025-10-02,0.9998158079,1.0005272401,0.9995346198,0.9999777248,0,0,0,0,19207540518.27,465596285519.5501,0.9987097808080958,1.0012902191919042,74310692348.99,74325564974.38,5.746948797e-5,-3.4856968948368955e-5,1.0000125816,1.0000161592,2.227519999997707e-5,9.926424113082648e-4,1.4391753933493977e-4,1.5194666555542205e-4,1.7865857313284752e-4,0.9998692752857166,0.9998699291466683,1.0846369316875923e-4,0.9998995721272259,53.04478857212376,0.6947584007873373,3.9822264442306173e-4
2025-10-03,0.9997998989,1.0000832141,0.999154879,0.9996693833,0,0,0,0,21465642020.41,473914508605.84,0.9987173741203136,1.0012826258796863,75417996094.97,75442448448.24,5.708784721e-5,-3.0839591765446163e-4,0.9999777248,0.9997482822,3.306167000000082e-4,9.286421245947251e-4,2.632375993690718e-4,1.639008867952577e-4,1.8460245947028058e-4,0.999858004014288,0.9998577699600016,-1.8864750147597e-4,0.9998420249204195,45.12103634740835,0.15112058320978977,8.56950303450516e-5
2025-10-04,0.9996758807,1.000055519,0.9990854725,0.9997896327,0,0,0,0,9929127238.82,471233834920.24005,0.998714946590725,1.001285053409275,75347791679.49,75364299945.98,5.585894022e-5,1.2028193544633775e-4,0.9996693833,0.9998298295,2.103673000000139e-4,9.702506090009269e-4,2.1704697565854835e-4,1.6815413297343362e-4,1.8450197497053828e-4,0.9998522616142881,0.9998542875000016,-6.263816834997467e-5,0.9998289268653147,48.360729535803685,0.3808481313442611,2.0893070198868283e-4
2025-10-05,0.9997809538,1.0002209241,0.9992377727,0.9998061256,0,0,0,0,15850637823.88,469976580949.07007,0.9987138017110172,1.001286198288983,75231105003.99,75247104370.26,5.515039076e-5,1.6496234233261106e-5,0.9997896327,0.9998995499,1.9387439999996037e-4,9.833420448488773e-4,2.2364074012935556e-4,1.6535236412967356e-4,1.8427601921476783e-4,0.9998389152857167,0.9998531851933349,-3.279496848475596e-5,0.999823226548986,48.80711126391915,0.4255720978390514,2.2807935138013965e-4
2025-10-06,0.9997873757,1.0002324974,0.9992126616,0.9995990369,0,0,0,0,20262848755.35,484254304367.92,0.9987265687494462,1.0012734312505538,75475146014.93,75505499370.34,5.625406063e-5,-2.0715031112719353e-4,0.9998061256,0.9998222995,4.009631000000402e-4,0.0010202448805501552,1.6733256563111363e-4,1.8032961706115173e-4,1.88033469135623e-4,0.9998070206285737,0.9998446926666683,-2.0802387289001152e-4,0.9997671791367395,43.69919459838523,0.05106085886921352,2.48576395220358e-5
2025-10-07,0.9995979981,1.0002803178,0.9990783997,0.9998358477,0,0,0,0,22966777631.44,500572800294.63,0.998740559705082,1.001259440294918,75649590431.56,75657714948.94,5.343984976e-5,2.3687773273479436e-4,0.9995990369,0.9997946595,1.641522999999978e-4,0.0012021154300126233,2.2201602264602084e-4,2.0709980971048053e-4,1.8897722214381463e-4,0.9998129046571451,0.9998369331733349,2.2947336194616738e-5,0.9997843462775546,50.12691161502716,0.5452488362552911,2.6197846417495716e-4
2025-10-08,0.9998926148,1.0005177558,0.9993420039,0.9998794124,0,0,0,0,18700124510.73,505722117238.8,0.9987448488812832,1.0012551511187169,75679491065.85,75695789170.51,5.497426507e-5,4.35709031942882e-5,0.9998358477,1.0000125816,1.2058759999999946e-4,0.001175893698198887,2.2263181915206404e-4,1.868376960421988e-4,1.8312297830488935e-4,0.9997938804857166,0.9998392352866683,8.55495477146209e-5,0.999808112808166,51.23000618682449,0.619778590583238,2.9265435381342603e-4
2025-10-09,0.9997846894,1.0002468025,0.9995149669,0.9998283045,0,0,0,0,20052145232.15,511643652988.94,0.9987497098694308,1.001250290130569,75576891180.49,75590077005.95,5.376531732e-5,-5.111537009053961e-5,0.9998794124,0.9999777248,1.716954999999576e-4,7.319612744570066e-4,1.4678388193221058e-4,1.8716807058963283e-4,1.8282416944403367e-4,0.9997725347285737,0.9998372892000017,5.578245999869945e-5,0.9998131607311245,49.83736402058662,0.5185484470435436,2.4247374286973398e-4
2025-10-10,0.9998255614,1.0049588938,0.9966726865,1.0000337051,0,0,0,0,44539851941,540849874392.84,0.9987726330566168,1.001227366943383,75104298947.29,75107353439.7,3.63173612e-5,2.0541477335539883e-4,0.9998283045,0.9996693833,3.370509999989224e-5,0.008285928021967499,1.2972190971053508e-4,1.5356947484790394e-4,1.8653160667830076e-4,0.9998245807000024,0.9998434609000016,2.0916109088969068e-4,0.9998682968233433,55.117994104541054,0.9007915178564062,4.4684886141654423e-4
2025-10-11,0.9999593316,1.0013117895,0.9993267906,0.999833675,0,0,0,0,27417334181.13,552556794196.08,0.9987813630029652,1.0012186369970348,75403303027.03,75411633647.72,3.695670256e-5,-2.00043365532493e-4,1.0000337051,0.9997896327,1.663250000000227e-4,0.001985329109864344,2.0509492302881984e-4,1.7594554622215957e-4,1.8952813197237403e-4,0.9998308724571452,0.9998459988666684,2.8030169221497184e-6,0.9998596413675075,49.637796513400076,0.493906958787243,2.444489293707999e-4
2025-10-12,0.9998895314,1.0014763161,0.9993511805,1.0002881806,0,0,0,0,27619798454.18,560716955044.78,0.9987873035567626,1.0012126964432373,75666961564.97,75650134595.87,4.191774647e-5,4.5447791748335107e-4,0.999833675,0.9998061256,2.8818059999990986e-4,0.002124523353585189,3.303601222085884e-4,2.446435102317184e-4,2.0672407618796775e-4,0.9998997374571452,0.9998628700033351,3.884820930571921e-4,0.9999667761756306,59.49292457324864,1.1942741298573456,7.506510311538174e-4
